PeakID (cmd=annotatePeaks.pl hg19.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
rs61752561	chr19	51361383	51361382	+	0	NA	exon (NM_001030047, exon 3 of 5)	exon (NM_001030047, exon 3 of 5)	3211	NM_001648	354	Hs.171995	NM_001648	ENSG00000142515	KLK3	APS|KLK2A1|PSA|hK3	kallikrein related peptidase 3	protein-coding
rs6660538	chr1	163295679	163295678	+	0	NA	intron (NM_145697, intron 1 of 13)	intron (NM_145697, intron 1 of 13)	3934	NM_145697	83540	Hs.651950	NM_031423	ENSG00000143228	NUF2	CDCA1|CT106|NUF2R	NUF2 component of NDC80 kinetochore complex	protein-coding
rs2847344	chr1	10564676	10564675	+	0	NA	intron (NM_004565, intron 2 of 8)	intron (NM_004565, intron 2 of 8)	29668	NM_004565	5195	Hs.149983	NM_004565	ENSG00000142655	PEX14	NAPP2|PBD13A|Pex14p|dJ734G22.2	peroxisomal biogenesis factor 14	protein-coding
rs7618603	chr3	23153063	23153062	+	0	NA	Intergenic	MLT1L|LTR|ERVL-MaLR	91007	NR_136177	100505877	Hs.125904	NR_136176	ENSG00000233153	UBE2E2-AS1	-	UBE2E2 antisense RNA 1 (head to head)	ncRNA
rs80130819	chr12	48419619	48419618	+	0	NA	Intergenic	Intergenic	-21359	NM_033150	1280	Hs.408182	NM_001844	ENSG00000139219	COL2A1	ANFH|AOM|COL11A3|SEDC|STL1	collagen type II alpha 1 chain	protein-coding
rs1990613	chr2	10781976	10781975	+	0	NA	intron (NM_024894, intron 13 of 20)	intron (NM_024894, intron 13 of 20)	48126	NM_024894	79954	Hs.222494	NM_024894	ENSG00000115761	NOL10	PQBP5	nucleolar protein 10	protein-coding
rs1058319	chr20	62374390	62374389	+	0	NA	TTS (NM_025224)	TTS (NM_025224)	3260	NM_020062	56731	Hs.435126	NM_020062	ENSG00000125520	SLC2A4RG	GEF|HDBP-1|HDBP1|Si-1-2|Si-1-2-19	SLC2A4 regulator	protein-coding
rs9443189	chr6	76495883	76495882	+	0	NA	intron (NM_001368139, intron 2 of 9)	AluSx1|SINE|Alu	36926	NM_001368138	4646	Hs.149387	NM_004999	ENSG00000196586	MYO6	DFNA22|DFNB37	myosin VI	protein-coding
rs56159348	chr11	76267332	76267331	+	0	NA	Intergenic	L2a|LINE|L2	111262	NM_020193	56946	Hs.352588	NM_020193	ENSG00000158636	EMSY	C11orf30|GL002	EMSY transcriptional repressor, BRCA2 interacting	protein-coding
rs9959454	chr18	76770821	76770820	+	0	NA	Intergenic	Intergenic	30545	NM_171999	27164	Hs.700557	NM_171999	ENSG00000256463	SALL3	ZNF796	spalt like transcription factor 3	protein-coding
